Athletes_Name,NOC,Game_Discipline,Rank,Gold,Silver,Bronze,Total_Medal,Rank by Total,Female,Male,Ratio,Total_Participants,Country_Name,Couch_Name,START (PDT),END (PDT)
AALERUD Katrine,Norway,Cycling Road,20.0,4.0,2.0,2.0,8.0,29.0,70,131,1.8714285714285714,201,,,2021-07-20 17:00:00,2021-07-21 01:00:00
ABAD Nestor,Spain,Artistic Gymnastics,22.0,3.0,8.0,6.0,17.0,17.0,98,98,1.0,196,Spain,,2021-07-21 00:30:00,2021-07-21 05:30:00
ABAGNALE Giovanni,Italy,Rowing,10.0,10.0,10.0,20.0,40.0,7.0,257,265,1.0311284046692606,522,,,2021-07-21 01:00:00,2021-07-21 06:00:00
ABALDE Alberto,Spain,Basketball,22.0,3.0,8.0,6.0,17.0,17.0,144,144,1.0,288,Spain,ZAMORA PEDREIRA Javier,2021-07-21 01:30:00,2021-07-21 06:30:00
ABALDE Tamara,Spain,Basketball,22.0,3.0,8.0,6.0,17.0,17.0,144,144,1.0,288,Spain,ZAMORA PEDREIRA Javier,2021-07-21 17:00:00,2021-07-22 01:00:00
ABALO Luc,France,Handball,8.0,10.0,12.0,11.0,33.0,10.0,168,168,1.0,336,France,KRUMBHOLZ Olivier,2021-07-22 00:30:00,2021-07-22 05:30:00
ABAROA Cesar,Chile,Rowing,,,,,,,257,265,1.0311284046692606,522,,,2021-07-22 01:00:00,2021-07-22 06:00:00
ABASS Abobakr,Sudan,Swimming,,,,,,,361,418,1.1578947368421053,779,,,2021-07-22 01:00:00,2021-07-22 06:00:00
ABBASALI Hamideh,Islamic Republic of Iran,Karate,27.0,3.0,2.0,2.0,7.0,33.0,40,42,1.05,82,,,2021-07-22 01:30:00,2021-07-22 06:30:00
ABBASOV Islam,Azerbaijan,Wrestling,67.0,0.0,3.0,4.0,7.0,33.0,96,193,2.0104166666666665,289,,,2021-07-22 16:30:00,2021-07-22 20:10:00
ABBINGH Lois,Netherlands,Handball,7.0,10.0,12.0,14.0,36.0,9.0,168,168,1.0,336,Netherlands,MAYONNADE Emmanuel,2021-07-22 17:00:00,2021-07-22 19:00:00
ABBOT Emily,Australia,Rhythmic Gymnastics,6.0,17.0,7.0,22.0,46.0,6.0,96,0,0.0,96,Australia,,2021-07-22 21:00:00,2021-07-22 23:00:00
ABBOTT Monica,United States of America,Baseball/Softball,1.0,39.0,41.0,33.0,113.0,1.0,90,144,1.6,234,United States,WEINSTEIN Jerry,2021-07-23 04:00:00,2021-07-23 07:00:00
ABDALLA Abubaker Haydar,Qatar,Athletics,41.0,2.0,0.0,1.0,3.0,60.0,969,1072,1.106295149638803,2041,,,2021-07-23 16:30:00,2021-07-23 20:30:00
ABDALLA Maryam,Egypt,Artistic Swimming,54.0,1.0,1.0,4.0,6.0,39.0,105,0,0.0,105,Egypt,MOHAMED Mai,2021-07-23 16:30:00,2021-07-24 00:30:00
ABDALLAH Shahd,Egypt,Artistic Swimming,54.0,1.0,1.0,4.0,6.0,39.0,105,0,0.0,105,Egypt,MOHAMED Mai,2021-07-23 17:00:00,2021-07-23 22:30:00
ABDALRASOOL Mohamed,Sudan,Judo,,,,,,,192,201,1.046875,393,,,2021-07-23 17:00:00,2021-07-23 20:50:00
ABDEL LATIF Radwa,Egypt,Shooting,54.0,1.0,1.0,4.0,6.0,39.0,178,178,1.0,356,,,2021-07-23 17:00:00,2021-07-24 00:20:00
ABDEL RAZEK Samy,Egypt,Shooting,54.0,1.0,1.0,4.0,6.0,39.0,178,178,1.0,356,,,2021-07-23 17:00:00,2021-07-23 20:30:00
ABDELAZIZ Abdalla,Egypt,Karate,54.0,1.0,1.0,4.0,6.0,39.0,40,42,1.05,82,,,2021-07-23 17:00:00,2021-07-23 20:45:00
ABDELAZIZ Farah,Egypt,Table Tennis,54.0,1.0,1.0,4.0,6.0,39.0,86,86,1.0,172,Egypt,,2021-07-23 17:00:00,2021-07-23 20:50:00
ABDELAZIZ Farah,Egypt,Table Tennis,54.0,1.0,1.0,4.0,6.0,39.0,86,86,1.0,172,ASSAR Omar / MESHREF Dina,,2021-07-23 17:30:00,2021-07-23 20:05:00
ABDELAZIZ Feryal,Egypt,Karate,54.0,1.0,1.0,4.0,6.0,39.0,40,42,1.05,82,,,2021-07-23 17:30:00,2021-07-23 21:15:00
ABDELMAWGOUD Mohamed,Egypt,Judo,54.0,1.0,1.0,4.0,6.0,39.0,192,201,1.046875,393,,,2021-07-23 17:50:00,2021-07-23 20:00:00
ABDELMOTTALEB Diaaeldin Kamal Gouda,Egypt,Wrestling,54.0,1.0,1.0,4.0,6.0,39.0,96,193,2.0104166666666665,289,,,2021-07-23 18:00:00,2021-07-23 20:30:00
